2019-04-24 22:45:52.293 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:52.294 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11505983
2019-04-24 22:45:55.294 00020 Controller!: 进入循环
2019-04-24 22:45:55.419 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:55.419 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11505983
2019-04-24 22:45:58.420 00020 Controller!: 进入循环
2019-04-24 22:45:58.547 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:58.547 00020 OnArenaStrategyImpl: masterCaidan:-12010064;petCaidan:-12009808
2019-04-24 22:45:58.548 00020 OnArenaStrategyImpl: 进入策略!
2019-04-24 22:45:58.548 00020 OnArenaStrategyImpl: 目标坐标:Point{x=486, y=575}
2019-04-24 22:45:59.560 00020 OnArenaStrategyImpl: 策略执行完毕!
2019-04-24 22:46:02.561 00020 Controller!: 进入循环
2019-04-24 22:46:02.688 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:02.688 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11176499
2019-04-24 22:46:05.689 00020 Controller!: 进入循环
2019-04-24 22:46:05.813 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:05.814 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-10517789
2019-04-24 22:46:08.814 00020 Controller!: 进入循环
2019-04-24 22:46:08.935 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:08.935 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-10517789
2019-04-24 22:46:11.936 00020 Controller!: 进入循环
2019-04-24 22:46:12.067 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:12.067 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-12362337
2019-04-24 22:46:15.068 00020 Controller!: 进入循环
2019-04-24 22:46:15.190 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:15.190 00020 OnArenaStrategyImpl: masterCaidan:-15060686;petCaidan:-11769674
2019-04-24 22:46:18.191 00020 Controller!: 进入循环
2019-04-24 22:46:18.314 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:18.314 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-14064800
2019-04-24 22:46:21.315 00020 Controller!: 进入循环
2019-04-24 22:46:21.440 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:21.440 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-10517789
2019-04-24 22:46:24.441 00020 Controller!: 进入循环
2019-04-24 22:46:24.569 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:24.569 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-12362337
2019-04-24 22:46:27.569 00020 Controller!: 进入循环
2019-04-24 22:46:27.691 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:27.691 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11769674
2019-04-24 22:46:30.692 00020 Controller!: 进入循环
2019-04-24 22:46:30.818 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:30.818 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-10517789
2019-04-24 22:46:33.818 00020 Controller!: 进入循环
2019-04-24 22:46:33.940 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:33.941 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-12362337
2019-04-24 22:46:36.942 00020 Controller!: 进入循环
2019-04-24 22:46:37.065 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:37.066 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11176499
2019-04-24 22:46:40.066 00020 Controller!: 进入循环
2019-04-24 22:46:40.201 00020 OnArenaStrategyImpl: 结束战斗!
2019-04-24 22:46:43.202 00020 Controller!: 进入循环
2019-04-24 22:46:43.326 00020 OnArenaStrategyImpl: 结束战斗!
2019-04-24 22:46:46.327 00020 Controller!: 进入循环
2019-04-24 22:46:46.454 00020 OnArenaStrategyImpl: 结束战斗!
2019-04-24 22:46:49.454 00020 Controller!: 进入循环
2019-04-24 22:46:49.577 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:49.577 00020 OnArenaStrategyImpl: masterCaidan:-12010064;petCaidan:-12009808
2019-04-24 22:46:49.577 00020 OnArenaStrategyImpl: 进入策略!
2019-04-24 22:46:49.578 00020 OnArenaStrategyImpl: 目标坐标:Point{x=486, y=575}
2019-04-24 22:46:50.598 00020 OnArenaStrategyImpl: 策略执行完毕!
2019-04-24 22:46:53.599 00020 Controller!: 进入循环
2019-04-24 22:46:53.725 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:53.726 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-11505983
2019-04-24 22:46:56.726 00020 Controller!: 进入循环
2019-04-24 22:46:56.853 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:56.854 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-12362337
2019-04-24 22:46:59.854 00020 Controller!: 进入循环
2019-04-24 22:46:59.996 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:46:59.997 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-12362337
2019-04-24 22:47:02.997 00020 Controller!: 进入循环
2019-04-24 22:47:03.120 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:03.120 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-14196387
2019-04-24 22:47:06.121 00020 Controller!: 进入循环
2019-04-24 22:47:06.246 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:06.246 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-11769674
2019-04-24 22:47:09.247 00020 Controller!: 进入循环
2019-04-24 22:47:09.375 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:09.375 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-11769162
2019-04-24 22:47:12.376 00020 Controller!: 进入循环
2019-04-24 22:47:12.502 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:12.503 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-11176499
2019-04-24 22:47:15.503 00020 Controller!: 进入循环
2019-04-24 22:47:15.633 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:15.633 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-10517789
2019-04-24 22:47:18.634 00020 Controller!: 进入循环
2019-04-24 22:47:18.758 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:18.758 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-10517789
2019-04-24 22:47:21.759 00020 Controller!: 进入循环
2019-04-24 22:47:21.882 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:21.882 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-11176499
2019-04-24 22:47:24.882 00020 Controller!: 进入循环
2019-04-24 22:47:25.008 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:25.008 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-12362337
2019-04-24 22:47:28.009 00020 Controller!: 进入循环
2019-04-24 22:47:28.133 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:28.133 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-11769674
2019-04-24 22:47:31.133 00020 Controller!: 进入循环
2019-04-24 22:47:31.250 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:31.251 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-11769162
2019-04-24 22:47:34.251 00020 Controller!: 进入循环
2019-04-24 22:47:34.369 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:34.370 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-10517789
2019-04-24 22:47:37.370 00020 Controller!: 进入循环
2019-04-24 22:47:37.496 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:37.496 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-11176499
2019-04-24 22:47:40.497 00020 Controller!: 进入循环
2019-04-24 22:47:40.620 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:40.620 00020 OnArenaStrategyImpl: masterCaidan:-12010064;petCaidan:-12009808
2019-04-24 22:47:40.621 00020 OnArenaStrategyImpl: 进入策略!
2019-04-24 22:47:40.621 00020 OnArenaStrategyImpl: 目标坐标:Point{x=486, y=575}
